division,district,cases,location
Dhaka,Dhaka (District) ,28,
,Gazipur ,82,
,Kishoreganj ,22,
,Madaripur ,23,
,Manikganj ,5,
,Narayanganj ,255,
,Munshigonj ,26,
,Narshingdi ,43,
,Rajbari ,7,
,Faridpur ,2,
,Tangail ,9,
,Sherpur ,2,
,Shariatpur ,6,
,Gopalganj ,17,
Chattogram ,Chattogram ,36,
,Cox’s bazar ,1,
,Cumilla ,14,
,B. Baria ,8,
,Laksmipur ,1,
,Noakhali ,2,
,Chandpur ,7,
Sylhet ,Moulovi Bazar ,2,
,Sunamganj ,1,
,Hobiganj ,1,
,Sylhet ,3,
Rangpur ,Rangpur ,3,
,Gaibandha ,13,
,Nilphamari ,6,
,Lalmonirhat ,2,
,Kurigram ,2,
,Dinajpur ,8,
,Thakurgaon ,3,
Khulna ,Khulna ,1,
,Narail ,1,
,Chuadanga ,1,
Mymensingh ,Mymensingh ,9,
,Jamalpur ,12,
,Netrokona ,6,
,Sherpur ,3,
Barishal ,Barguna ,4,
,Barishal ,12,
,Potuakhali ,2,
,Pirojpur ,4,
,Jhalokathi ,3,
Rajshahi ,Rajshahi ,4,
Dhaka,Dhaka City,5,Adabor 
Dhaka,Dhaka City,2,Agargaon 
Dhaka,Dhaka City,1,Armanitola 
Dhaka,Dhaka City,1,Ashkona 
Dhaka,Dhaka City,11,Azimpur 
Dhaka,Dhaka City,11,Babu Bazar 
Dhaka,Dhaka City,8,Badda 
Dhaka,Dhaka City,3,Baily Road 
Dhaka,Dhaka City,8,Banani 
Dhaka,Dhaka City,9,Bangshal 
Dhaka,Dhaka City,1,Banianagar 
Dhaka,Dhaka City,17,Basabo 
Dhaka,Dhaka City,5,Bashundhora 
Dhaka,Dhaka City,1,Begunbari 
Dhaka,Dhaka City,1,Begum Bazar 
Dhaka,Dhaka City,1,Beribadh 
Dhaka,Dhaka City,1,Bokshi Bazar 
Dhaka,Dhaka City,1,Bosila 
Dhaka,Dhaka City,1,Buet Area 
Dhaka,Dhaka City,1,Central Road 
Dhaka,Dhaka City,5,Chankharpool 
Dhaka,Dhaka City,9,Chawk Bazar 
Dhaka,Dhaka City,1,Dhakkeshori 
Dhaka,Dhaka City,18,Dhanmondi 
Dhaka,Dhaka City,1,Dholaikhal 
Dhaka,Dhaka City,1,Doyaganj 
Dhaka,Dhaka City,2,Eskaton 
Dhaka,Dhaka City,1,Faridabagh 
Dhaka,Dhaka City,1,Farmgate 
Dhaka,Dhaka City,14,Gendaria 
Dhaka,Dhaka City,3,Gopibag 
Dhaka,Dhaka City,10,Green Road 
Dhaka,Dhaka City,2,Gulistan 
Dhaka,Dhaka City,13,Gulshan 
Dhaka,Dhaka City,1,Hatir jhil 
Dhaka,Dhaka City,3,Hatirpool 
Dhaka,Dhaka City,11,Hazaribagh 
Dhaka,Dhaka City,2,Islampur 
Dhaka,Dhaka City,2,Jailgate 
Dhaka,Dhaka City,23,Jatrabari 
Dhaka,Dhaka City,5,Jigatala 
Dhaka,Dhaka City,1,Jurain 
Dhaka,Dhaka City,1,Kallyanpur 
Dhaka,Dhaka City,3,Kamrangir Char 
Dhaka,Dhaka City,2,Kazi para 
Dhaka,Dhaka City,1,Kawran Bazar 
Dhaka,Dhaka City,1,Kochukhet 
Dhaka,Dhaka City,1,Khilgaon 
Dhaka,Dhaka City,1,Kodomtoli 
Dhaka,Dhaka City,3,Kotowali 
Dhaka,Dhaka City,1,Kuril 
Dhaka,Dhaka City,21,Lalbagh 
Dhaka,Dhaka City,4,Laxmibazar 
Dhaka,Dhaka City,4,Malibagh 
Dhaka,Dhaka City,1,Manikdi 
Dhaka,Dhaka City,1,Matuail 
Dhaka,Dhaka City,2,Mirhajaribagh 
Dhaka,Dhaka City,8,Mirpur-1 
Dhaka,Dhaka City,3,Mirpur-6 
Dhaka,Dhaka City,6,Mirpur-10 
Dhaka,Dhaka City,11,Mirpur-11 
Dhaka,Dhaka City,10,Mirpur-12 
Dhaka,Dhaka City,2,Mirpur-13 
Dhaka,Dhaka City,5,Mirpur-14 
Dhaka,Dhaka City,2,Mitford 
Dhaka,Dhaka City,10,Mogbazar 
Dhaka,Dhaka City,12,Mohakhali 
Dhaka,Dhaka City,22,Mohammadpur 
Dhaka,Dhaka City,1,Motijeel 
Dhaka,Dhaka City,2,Mugda 
Dhaka,Dhaka City,1,Nawabpur 
Dhaka,Dhaka City,3,Narinda 
Dhaka,Dhaka City,5,Nakhalpara 
Dhaka,Dhaka City,1,Nikunja 
Dhaka,Dhaka City,2,Pirerbagh 
Dhaka,Dhaka City,2,Purana Paltan 
Dhaka,Dhaka City,8,Rajarbagh 
Dhaka,Dhaka City,3,Rampura 
Dhaka,Dhaka City,1,Ramna 
Dhaka,Dhaka City,1,Rayerbagh 
Dhaka,Dhaka City,1,Rayerbazar 
Dhaka,Dhaka City,2,Sabujbagh 
Dhaka,Dhaka City,1,Sayedabad 
Dhaka,Dhaka City,1,Science Lab 
Dhaka,Dhaka City,2,Shah Ali Bagh 
Dhaka,Dhaka City,4,Shahbag 
Dhaka,Dhaka City,6,Shakharibazar 
Dhaka,Dhaka City,1,Shantibagh 
Dhaka,Dhaka City,1,Shampur 
Dhaka,Dhaka City,7,Shantinagar 
Dhaka,Dhaka City,3,Shaymoli 
Dhaka,Dhaka City,1,Shewrapara 
Dhaka,Dhaka City,1,Shekher Tek 
Dhaka,Dhaka City,3,Showari Ghat 
Dhaka,Dhaka City,3,Siddheshwari 
Dhaka,Dhaka City,1,Sonir akhra 
Dhaka,Dhaka City,7,Sutrapur 
Dhaka,Dhaka City,16,Tejgaon 
Dhaka,Dhaka City,1,Tezturi Bazar 
Dhaka,Dhaka City,19,Tolarbag 
Dhaka,Dhaka City,1,Urdu Road 
Dhaka,Dhaka City,20,Uttara 
Dhaka,Dhaka City,1,Vatara 
Dhaka,Dhaka City,27,Wari 
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
